smiles	kegg_id	formal_charge
C[N-]C([NH-])=O	['C16363']	-2
CCC(=O)OP(=O)([O-])[O-]	['C02876']	-2
O=S(=O)([O-])CC[S-]	['C03576']	-2
O=C1CCC(C(=O)[O-])=C[N-]1	['C04226']	-2
C[N-]C(=O)NC	['C16364']	-1
O=C([O-])CCCCCCS	['C16593', 'C16593']	-1
C/C(=C\C(=O)[O-])C(=O)[O-]	['C01732']	-2
C/C(=C/C(=O)[O-])C(=O)[O-]	['C02226']	-2
O=C([O-])/C=C/Cl	['C06614']	-1
O=C([O-])/C=C\Cl	['C06615']	-1
C=C(CCC(=O)[O-])C(=O)[O-]	['C02930']	-2
CC(=O)[N-]CCCC[C@H](N)C(=O)O	['C02727']	-1
CCCC(=O)OP(=O)([O-])[O-]	['C02527']	-2
CC[C@](O)(C(C)=O)C(=O)[O-]	['C06006', 'C06006']	-1
O=C([O-])CCCCCC[S-]	['C16593']	-2
CNC([NH-])=O	['C16363']	-1
O=S(=O)([O-])CCS	['C03576']	-1
NCCCC[C@H]([N-]C(=O)CC[NH3+])C(=O)[O-]	['C05341']	-1
CCCCCCCCCCCCCC(=O)[O-]	['C06424']	-1
O=C([O-])/C=C/C(=O)[O-]	['C00122']	-2
O=C([O-])/C=C\C(=O)[O-]	['C01384']	-2
NC(=O)[N-][C@H](N)C(=O)[O-]	['C02091', 'C02091']	-2
CCCC(C(=O)[O-])C(O)CC	['C16651', 'C16651']	-1
CSCCC(=O)C(=O)[O-]	['C01180']	-1
O=C[N-]C1CCCCC1	['C11519']	-1
CSCCS(=O)(=O)[O-]	['C03920']	-1
CSCCCC(=O)C(=O)[O-]	['C17211']	-1
CC(=O)[N-]NC(C)=O	['C16622']	-1
CC(C)(CO)C(=O)C(=O)[O-]	['C00966', 'C00966']	-1
NC(=O)[N-]CCC[C@H]([NH3+])C(=O)[O-]	['C00327', 'C00327']	-1
CCC(=O)OP(=O)([O-])O	['C02876']	-1
CC(O)CC(=O)C(=O)[O-]	['C03589', 'C03589']	-1
[NH-]C(=O)NCCC[C@H](N)C(=O)[O-]	['C00327']	-2
C=C(CCC(=O)O)C(=O)[O-]	['C02930']	-1
CC(=O)OP(=O)([O-])O	['C00227']	-1
O=C([O-])CS(=O)(=O)[O-]	['C14179']	-2
CCC(O)CC(=O)C(=O)[O-]	['C06762', 'C06762']	-1
NCCP(=O)([O-])[O-]	['C03557']	-2
CC(=O)[C@](C)(O)C(=O)[O-]	['C06010', 'C06010']	-1
CC(=O)[N-]CCC(=O)O	['C01073']	-1
CCCC(CC(C)O)C(=O)[O-]	['C16649', 'C16649']	-1
C/C(C(=O)[O-])=C(\C)C(=O)O	['C00922']	-1
CSCCCCC(=O)C(=O)[O-]	['C17216']	-1
CC(=O)[N-][N-]C(C)=O	['C16622']	-2
[NH-]C(=O)c1ccccc1	['C09815']	-1
NCCCC[N-]C(=O)CC[C@H](N)C(=O)[O-]	['C15699']	-2
O=COP(=O)([O-])O	['C02405']	-1
CC1(O)C(=O)[N-]c2ccccc21	['C05834']	-1
CC(=O)[N-]CCCCC(=O)[O-]	['C03087']	-2
O=C1CCCCC[N-]1	['C06593']	-1
CCCC(=O)OP(=O)([O-])O	['C02527']	-1
CN(C)CCP(=O)([O-])[O-]	['C05680']	-2
O=C1[N-]c2ccccc2C1O	['C11130']	-1
CC(C)/C(=C/C(=O)[O-])C(=O)[O-]	['C02631']	-2
NCCCCC(=O)C(=O)[O-]	['C03239']	-1
CCC(C)CCCCCCCCCCC(=O)[O-]	['C16665']	-1
NCCC(=O)[N-][C@@H](CCCC[NH3+])C(=O)[O-]	['C05341']	-1
[NH-]C(=O)NCCCCN	['C00436']	-1
C[NH+](C)CCP(=O)([O-])[O-]	['C05680']	-1
N[C@H](C(=O)[O-])[C@H](O)CO	['C06056', 'C06056', 'C06056']	-1
NCCCC[C@H]([N-]C(=O)CCN)C(=O)[O-]	['C05341']	-2
CC(=O)NCCCC[C@H](N)C(=O)[O-]	['C02727']	-1
C=C(C(=O)[O-])C(C)C(=O)O	['C02295']	-1
C=C(CC(=O)O)C(=O)[O-]	['C00490']	-1
O=C1CC[C@H](C(=O)O)[N-]1	['C02237']	-1
O=C1CC[C@@H](C(=O)O)[N-]1	['C01879']	-1
CC(=O)[N-][C@@H](CCCN)C(=O)O	['C00437']	-1
NCCS(=O)(=O)[O-]	['C00245']	-1
C=C(N)C(=O)[O-]	['C02218']	-1
CSCCCCCCC(=O)C(=O)[O-]	['C17224']	-1
CN(N=O)C([NH-])=O	['C14595']	-1
O=C([O-])CC[N+](=O)[O-]	['C05669']	-1
C/C(=C/C(=O)O)C(=O)[O-]	['C02226']	-1
C/C(=C\C(=O)O)C(=O)[O-]	['C01732']	-1
C=C(C(=O)[O-])C(C)C(=O)[O-]	['C02295']	-2
[NH-]C(=O)/C=C\C(=O)[O-]	['C01596']	-2
NCCCC[N-]C(=O)CC[C@H]([NH3+])C(=O)[O-]	['C15699']	-1
CC(C(=O)[O-])C(=O)O	['C02170']	-1
O=C([O-])CCC(=O)O	['C00042']	-1
C/C(=C\C(=O)[O-])C(=O)O	['C01732']	-1
C/C(=C/C(=O)[O-])C(=O)O	['C02226']	-1
O=C([O-])C(=O)[O-]	['C00209']	-2
[NH-]C(=O)NCCC[C@H]([NH3+])C(=O)[O-]	['C00327']	-1
CC(=O)/C=C\C(=O)[O-]	['C07091']	-1
O=C([O-])CCl	['C06755']	-1
C=C(CC(=O)[O-])C(=O)[O-]	['C00490']	-2
CC(=O)[N-]CCCC[C@H](N)C(=O)[O-]	['C02727']	-2
NC(=O)[N-]CCC[C@H](N)C(=O)O	['C00327']	-1
O=C([O-])CCCC(=O)[O-]	['C00489']	-2
C[N+](C)(C)CCP(=O)([O-])[O-]	['C06459']	-1
C=C(CCC(=O)[O-])C(=O)O	['C02930']	-1
N=C(c1ccccc1)S(=O)[O-]	['C16285']	-1
CSCCCCCC(=O)C(=O)[O-]	['C17220']	-1
O=C1CCC(C(=O)O)=C[N-]1	['C04226']	-1
CC(=O)[N-]CCCC(=O)O	['C02946']	-1
NCC(=O)[O-]	['C00037']	-1
CNCCP(=O)([O-])O	['C05679']	-1
NCCS(=O)[O-]	['C00519']	-1
NC(=O)N[C@H](N)C(=O)[O-]	['C02091', 'C02091']	-1
O=C([O-])C(=O)CO	['C00168', 'C00168']	-1
CC[C@@](C)(O)C(=O)C(=O)[O-]	['C14463', 'C14463']	-1
NCCC(=O)[O-]	['C00099']	-1
O=C([O-])CC(=O)O	['C00383']	-1
O=C([O-])CCCCC(=O)[O-]	['C06104']	-2
N=C(N)NCCC[C@@H](N)C(=O)[O-]	['C00792']	-1
N=C(N)NCCC[C@H](N)C(=O)[O-]	['C00062']	-1
N[C@@H](CCC(=O)[N-]CCCC[NH3+])C(=O)[O-]	['C15699']	-1
NC(=O)[O-]	['C01563']	-1
CN1CC(=O)[N-]C1=O	['C02565']	-1
CN(CC(=O)[O-])C([NH-])=O	['C01043']	-2
O=C1CC[C@@H](C(=O)[O-])N1	['C01879']	-1
O=C1CC[C@H](C(=O)[O-])N1	['C02237']	-1
O=C([O-])C(=O)CS	['C00957', 'C00957']	-1
CC(N)C(=O)[O-]	['C01401']	-1
C[C@H](N)C(=O)[O-]	['C00041']	-1
C[C@@H](N)C(=O)[O-]	['C00133']	-1
O=C([O-])C(=O)C[S-]	['C00957']	-2
CC(C)(O)C(=O)C(=O)[O-]	['C04181', 'C04181']	-1
O=COP(=O)([O-])[O-]	['C02405']	-2
CC(=O)CC(O)CC(=O)[O-]	['C16272', 'C16272']	-1
CNCCOP(=O)([O-])O	['C01210']	-1
O=C([O-])CCCC(=O)O	['C00489']	-1
CC(C)/C(=C/C(=O)[O-])C(=O)O	['C02631']	-1
C[C@H](O)[C@@H](N)C(=O)[O-]	['C00820', 'C00820']	-1
C[C@@H](O)[C@H](N)C(=O)[O-]	['C00188', 'C00188']	-1
C[C@H](O)[C@H](N)C(=O)[O-]	['C05519', 'C05519']	-1
N[C@@H](CCO)C(=O)[O-]	['C00263', 'C00263']	-1
NCCCC[N-]C(=O)CC[C@H](N)C(=O)O	['C15699']	-1
CC(C)/C(=C/C(=O)O)C(=O)[O-]	['C02631']	-1
CC(=O)N([O-])CCCC[C@H](N)C(=O)O	['C03955']	-1
O=C([O-])/C=C\C(=O)O	['C01384']	-1
O=C([O-])/C=C/C(=O)O	['C00122']	-1
CN(C)CCP(=O)([O-])O	['C05680']	-1
C=CCC(CCC)C(=O)[O-]	['C16648']	-1
O=C([O-])C(=O)O	['C00209']	-1
C[NH+](C)CCOP(=O)([O-])[O-]	['C13482']	-1
NCCCCCC(=O)[O-]	['C02378']	-1
CCCC(CCCO)C(=O)[O-]	['C16650', 'C16650']	-1
[NH3+]CCOP(=O)([O-])[O-]	['C00346']	-1
O=C1CCC(C(=O)[O-])=CN1	['C04226']	-1
N/C(=N/O)NCCC[C@H](N)C(=O)[O-]	['C05933']	-1
