smiles	cation	anion	name	cas	url
CCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	CCCCCCCCCCn1cc[n+](C)c1	O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	1-Decyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide	433337-23-6	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0100-hp
CC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	CC[n+]1cccc(C)c1	O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	1-Ethyl-3-methylpyridinium bis(trifluoromethylsulfonyl)imide	841251-37-4	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0214-hp
CC[n+]1ccccc1.[Br-]	CC[n+]1ccccc1	[Br-]	1-Ethylpyridinium bromide	1906-79-2	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0171-hp
CCCCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F	CCCCCCn1cc[n+](C)c1	O=S(=O)([O-])C(F)(F)F	1-Hexyl-3-methylimidazolium triflate	460345-16-8	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0070-hp
CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	CCCn1cc[n+](C)c1C	O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	1,2-Dimethyl-3-propylimidazolium bis(trifluoromethylsulfonyl)imide	169051-76-7	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0134-hp
CCCn1cc[n+](C)c1C.[Br-]	CCCn1cc[n+](C)c1C	[Br-]	1,2-Dimethyl-3-propylimidazolium bromide	107937-17-7	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0229-hp
CCCn1cc[n+](C)c1C.[I-]	CCCn1cc[n+](C)c1C	[I-]	1,2-Dimethyl-3-propylimidazolium iodide	218151-78-1	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0049-hp
CCCn1cc[n+](C)c1C.[I-]	CCCn1cc[n+](C)c1C	[I-]	1,2-Dimethyl-3-propylimidazolium iodide	218151-78-1	https://iolitec.de/index.php/products/ionic_liquids/catalogue/ready-use-electrolytes/iolilyte-pve-2000
CC1=NC=C[NH+]1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	CC1=NC=C[NH+]1C	O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	1,2-Dimethylimidazolium bis(trifluoromethylsulfonyl)imide	353239-12-0	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0278-sg
CC1=NC=C[NH+]1C.[Cl-]	CC1=NC=C[NH+]1C	[Cl-]	1,2-Dimethylimidazolium chloride	34531-53-8	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0277-sg
CCCCCCCCCCn1cc[n+](CCCCCCCCCC)c1C.[Cl-]	CCCCCCCCCCn1cc[n+](CCCCCCCCCC)c1C	[Cl-]	1,3-Didecyl-2-methylimidazolium chloride	70862-65-6	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0046-hp
CCn1cc[n+](CC)c1.F[P-](F)(F)(F)(F)F	CCn1cc[n+](CC)c1	F[P-](F)(F)(F)(F)F	1,3-Diethylimidazolium  hexafluorophosphate	370085-15-7	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0281-hp
CCn1cc[n+](CC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	CCn1cc[n+](CC)c1	O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	1,3-Diethylimidazolium bis(trifluoromethylsulfonyl)imide	174899-88-8	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0188-hp
CCn1cc[n+](CC)c1.[Br-]	CCn1cc[n+](CC)c1	[Br-]	1,3-Diethylimidazolium bromide	54304-66-4	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0279-hp
CCOP(=O)([O-])OCC.CCn1cc[n+](CC)c1	CCn1cc[n+](CC)c1	CCOP(=O)([O-])OCC	1,3-Diethylimidazolium diethyl phosphate	945406-32-6	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0245-hp
CCOS(=O)(=O)[O-].CCn1cc[n+](CC)c1	CCn1cc[n+](CC)c1	CCOS(=O)(=O)[O-]	1,3-Diethylimidazolium ethyl sulfate	516474-04-7	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0244-hp
CCn1cc[n+](CC)c1.F[B-](F)(F)F	CCn1cc[n+](CC)c1	F[B-](F)(F)F	1,3-Diethylimidazolium tetrafluoroborate	847335-65-3	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0280-hp
