smiles	cation	anion	name	cas	url
CCCC[N+]1(C)CCCC1.[Cl-]	CCCC[N+]1(C)CCCC1	[Cl-]	1-Butyl-1-methylpyrrolidinium chloride	479500-35-1	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyrrolidinium-based/il-0075-hp
CCCC[N+]1(C)CCCC1.N#CN=C=[N-]	CCCC[N+]1(C)CCCC1	N#CN=C=[N-]	1-Butyl-1-methylpyrrolidinium dicyanamide	370865-80-8	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyrrolidinium-based/il-0041-hp
CCCC[N+]1(C)CCCC1.F[P-](F)(F)(F)(F)F	CCCC[N+]1(C)CCCC1	F[P-](F)(F)(F)(F)F	1-Butyl-1-methylpyrrolidinium hexafluorophosphate	330671-29-9	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyrrolidinium-based/il-0076-hp
CCCC[N+]1(C)CCCC1.[I-]	CCCC[N+]1(C)CCCC1	[I-]	1-Butyl-1-methylpyrrolidinium iodide	56511-17-2	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyrrolidinium-based/il-0050-hp
CCCC[N+]1(C)CCCC1.COC(=O)[O-]	CCCC[N+]1(C)CCCC1	COC(=O)[O-]	1-Butyl-1-methylpyrrolidinium methylcarbonate in MeOH	1223496-96-5	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyrrolidinium-based/0029-sg
CCCC[N+]1(C)CCCC1.F[B-](F)(F)F	CCCC[N+]1(C)CCCC1	F[B-](F)(F)F	1-Butyl-1-methylpyrrolidinium tetrafluoroborate	345984-11-4	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyrrolidinium-based/il-0077-hp
CCCC[N+]1(C)CCCC1.N#CC(=C=[N-])C#N	CCCC[N+]1(C)CCCC1	N#CC(=C=[N-])C#N	1-Butyl-1-methylpyrrolidinium tricyanomethanide	878027-72-6	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyrrolidinium-based/il-0318-hp
CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F	CCCC[N+]1(C)CCCC1	O=S(=O)([O-])C(F)(F)F	1-Butyl-1-methylpyrrolidinium triflate	367522-96-1	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyrrolidinium-based/il-0113-hp
CCCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	CCCCn1cc[n+](C)c1C	O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	1-Butyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)imide	350493-08-2	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0104-hp
CCCCn1cc[n+](C)c1C.[Br-]	CCCCn1cc[n+](C)c1C	[Br-]	1-Butyl-2,3-dimethylimidazolium bromide	475575-45-2	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0055-hp
CCCCn1cc[n+](C)c1C.[Cl-]	CCCCn1cc[n+](C)c1C	[Cl-]	1-Butyl-2,3-dimethylimidazolium chloride	98892-75-2	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0056-hp
CCCCn1cc[n+](C)c1C.F[P-](F)(F)(F)(F)F	CCCCn1cc[n+](C)c1C	F[P-](F)(F)(F)(F)F	1-Butyl-2,3-dimethylimidazolium hexafluorophosphate	227617-70-1	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0057-hp
CCCCn1cc[n+](C)c1C.[I-]	CCCCn1cc[n+](C)c1C	[I-]	1-Butyl-2,3-dimethylimidazolium iodide	108203-70-9	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0137-hp
CCCCn1cc[n+](C)c1C.F[B-](F)(F)F	CCCCn1cc[n+](C)c1C	F[B-](F)(F)F	1-Butyl-2,3-dimethylimidazolium tetrafluoroborate	402846-78-0	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0058-hp
CCCCn1cc[n+](C)c1C.O=S(=O)([O-])C(F)(F)F	CCCCn1cc[n+](C)c1C	O=S(=O)([O-])C(F)(F)F	1-Butyl-2,3-dimethylimidazolium triflate	765910-73-4	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0059-hp
CCCC[n+]1ccccc1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	CCCC[n+]1ccccc1C	O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	1-Butyl-2-methylpyridinium bis(trifluoromethylsulfonyl)imide	384347-09-5	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0228-hp
CCCC[n+]1ccccc1C.[Br-]	CCCC[n+]1ccccc1C	[Br-]	1-Butyl-2-methylpyridinium bromide	26576-84-1	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0128-hp
CCCC[n+]1ccccc1C.[Cl-]	CCCC[n+]1ccccc1C	[Cl-]	1-Butyl-2-methylpyridinium chloride	112400-85-8	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0129-hp
CCCC[n+]1ccccc1C.F[P-](F)(F)(F)(F)F	CCCC[n+]1ccccc1C	F[P-](F)(F)(F)(F)F	1-Butyl-2-methylpyridinium hexafluorophosphate	1268986-44-2	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0127-hp
CCCC[n+]1ccccc1C.[I-]	CCCC[n+]1ccccc1C	[I-]	1-Butyl-2-methylpyridinium iodide	13311-31-4	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0183-hp
CCCC[n+]1ccccc1C.F[B-](F)(F)F	CCCC[n+]1ccccc1C	F[B-](F)(F)F	1-Butyl-2-methylpyridinium tetrafluoroborate	286453-46-1	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0111-hp
CCCC[n+]1ccccc1C.O=S(=O)([O-])C(F)(F)F	CCCC[n+]1ccccc1C	O=S(=O)([O-])C(F)(F)F	1-Butyl-2-methylpyridinium triflate	1770850-20-8	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0178-hp
CCCC[n+]1ccn(CC)c1.O=S(=O)([O-])C(F)(F)C(F)F	CCCC[n+]1ccn(CC)c1	O=S(=O)([O-])C(F)(F)C(F)F	1-Butyl-3-ethylimidazolium 1,1,2,2-tetrafluoroethanesulfonate	3032953-07-1	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0255-sg
CCCC[n+]1ccn(CC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	CCCC[n+]1ccn(CC)c1	O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	1-Butyl-3-ethylimidazolium bis(trifluoromethylsulfonyl)imide	174899-89-9	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0289-hp
CCCC[n+]1ccn(CC)c1.[Br-]	CCCC[n+]1ccn(CC)c1	[Br-]	1-Butyl-3-ethylimidazolium bromide	174899-64-0	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0286-hp
CCCC[n+]1ccn(CC)c1.F[P-](F)(F)(F)(F)F	CCCC[n+]1ccn(CC)c1	F[P-](F)(F)(F)(F)F	1-Butyl-3-ethylimidazolium hexafluorophosphate	256647-89-9	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0288-hp
CCCC[n+]1ccn(CC)c1.F[B-](F)(F)F	CCCC[n+]1ccn(CC)c1	F[B-](F)(F)F	1-Butyl-3-ethylimidazolium tetrafluoroborate	581101-91-9	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0287-hp
CCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)C(F)F	CCCCn1cc[n+](C)c1	O=S(=O)([O-])C(F)(F)C(F)F	1-Butyl-3-methylimidazolium  1,1,2,2-tetrafluoroethanesulfonate	880084-62-8	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0234-hp
CC(=O)[O-].CCCCn1cc[n+](C)c1	CCCCn1cc[n+](C)c1	CC(=O)[O-]	1-Butyl-3-methylimidazolium acetate	284049-75-8	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0315-tg
CC(=O)[O-].CCCCn1cc[n+](C)c1	CCCCn1cc[n+](C)c1	CC(=O)[O-]	1-Butyl-3-methylimidazolium acetate	284049-75-8	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0315-hp
CCCCn1cc[n+](C)c1.O=S(=O)(F)[N-]S(=O)(=O)F	CCCCn1cc[n+](C)c1	O=S(=O)(F)[N-]S(=O)(=O)F	1-Butyl-3-methylimidazolium bis(fluorosulfonyl)imide	1235234-58-8	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0345-hp
CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F	CCCCn1cc[n+](C)c1	O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F	1-Butyl-3-methylimidazolium bis(pentafluoroethylsulfonyl)imide	254731-29-8	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0321-hp
CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	CCCCn1cc[n+](C)c1	O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	1-Butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide, 99.5%	174899-83-3	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0029
CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	CCCCn1cc[n+](C)c1	O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	1-Butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide, 99.5% - OP	174899-83-3	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0029-op
CCCCn1cc[n+](C)c1.[Br-]	CCCCn1cc[n+](C)c1	[Br-]	1-Butyl-3-methylimidazolium bromide	85100-77-2	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0037-hp
CCCCn1cc[n+](C)c1.[Al+3].[Cl-].[Cl-].[Cl-].[Cl-]	[Al+3]	[Cl-]	1-Butyl-3-methylimidazolium chloride and Aluminum chloride (1:1.5)	80432-09-3	https://iolitec.de/index.php/products/ionic_liquids/catalogue/ready-use-electrolytes/ep-0002-hp
CCCCn1cc[n+](C)c1.[Al+3].[Cl-].[Cl-].[Cl-].[Cl-]	[Al+3]	[Cl-]	1-Butyl-3-methylimidazolium chloride and Aluminum chloride (1:2)	80432-09-3	https://iolitec.de/index.php/products/ionic_liquids/catalogue/ready-use-electrolytes/ep-0008-hp
CCCCn1cc[n+](C)c1.[Cl-]	CCCCn1cc[n+](C)c1	[Cl-]	1-Butyl-3-methylimidazolium chloride	79917-90-1	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0014-hp
CCCCOP(=O)([O-])OCCCC.CCCCn1cc[n+](C)c1	CCCCn1cc[n+](C)c1	CCCCOP(=O)([O-])OCCCC	1-Butyl-3-methylimidazolium dibutylphosphate	663199-28-8	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0324-hp
CCCCn1cc[n+](C)c1.N#CN=C=[N-]	CCCCn1cc[n+](C)c1	N#CN=C=[N-]	1-Butyl-3-methylimidazolium dicyanamide	448245-52-1	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0010-hp
CCCCn1cc[n+](C)c1.COP(=O)([O-])OC	CCCCn1cc[n+](C)c1	COP(=O)([O-])OC	1-Butyl-3-methylimidazolium dimethyl phosphate	891772-94-4	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0257-hp
CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F	CCCCn1cc[n+](C)c1	F[P-](F)(F)(F)(F)F	1-Butyl-3-methylimidazolium hexafluorophosphate	174501-64-5	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0011-hp
CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F	CCCCn1cc[n+](C)c1	F[P-](F)(F)(F)(F)F	1-Butyl-3-methylimidazolium hexafluorophosphate, 99.5%	174501-64-5	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0011
CCCCn1cc[n+](C)c1.O=S(=O)([O-])O	CCCCn1cc[n+](C)c1	O=S(=O)([O-])O	1-Butyl-3-methylimidazolium hydrogensulfate	262297-13-2	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0060-hp
CCCCn1cc[n+](C)c1.[I-]	CCCCn1cc[n+](C)c1	[I-]	1-Butyl-3-methylimidazolium iodide	65039-05-6	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0051-hp
CCCCn1cc[n+](C)c1.[I-]	CCCCn1cc[n+](C)c1	[I-]	1-Butyl-3-methylimidazolium iodide	65039-05-6	https://iolitec.de/index.php/products/ionic_liquids/catalogue/ready-use-electrolytes/iolilyte-pve-3000
CCCCn1cc[n+](C)c1.CS(=O)(=O)[O-]	CCCCn1cc[n+](C)c1	CS(=O)(=O)[O-]	1-Butyl-3-methylimidazolium methanesulfonate	342789-81-5	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0061-hp
CCCCn1cc[n+](C)c1.COS(=O)(=O)[O-]	CCCCn1cc[n+](C)c1	COS(=O)(=O)[O-]	1-Butyl-3-methylimidazolium methyl sulfate	401788-98-5	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0195-hp
CCCCn1cc[n+](C)c1.COC(=O)[O-]	CCCCn1cc[n+](C)c1	COC(=O)[O-]	1-Butyl-3-methylimidazolium methylcarbonate in MeOH	916850-37-8	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/0028-sg
CCCCn1cc[n+](C)c1.O=[N+]([O-])[O-]	CCCCn1cc[n+](C)c1	O=[N+]([O-])[O-]	1-Butyl-3-methylimidazolium nitrate	179075-88-8	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0201-hp
CCCCn1cc[n+](C)c1.[Cl-].[Cl-].[Cl-].[Cl-].[Fe+3]	[Fe+3]	[Cl-]	1-Butyl-3-methylimidazolium tetrachloroferrate(III)	359845-21-9	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0047-sg
CCCCn1cc[n+](C)c1.F[B-](F)(F)F	CCCCn1cc[n+](C)c1	F[B-](F)(F)F	1-Butyl-3-methylimidazolium tetrafluoroborate	174501-65-6	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0012-hp
CCCCn1cc[n+](C)c1.N#C[S-]	CCCCn1cc[n+](C)c1	N#C[S-]	1-Butyl-3-methylimidazolium thiocyanate	344790-87-0	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0063-hp
CCCCn1cc[n+](C)c1.Cc1ccc(S(=O)(=O)[O-])cc1	CCCCn1cc[n+](C)c1	Cc1ccc(S(=O)(=O)[O-])cc1	1-Butyl-3-methylimidazolium tosylate	410522-18-8	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0028-hp
CCCCn1cc[n+](C)c1.N#CC(=C=[N-])C#N	CCCCn1cc[n+](C)c1	N#CC(=C=[N-])C#N	1-Butyl-3-methylimidazolium tricyanomethanide	878027-73-7	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0317-hp
CCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F	CCCCn1cc[n+](C)c1	O=S(=O)([O-])C(F)(F)F	1-Butyl-3-methylimidazolium triflate	174899-66-2	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0013-hp
CCCCn1cc[n+](C)c1.O=C([O-])C(F)(F)F	CCCCn1cc[n+](C)c1	O=C([O-])C(F)(F)F	1-Butyl-3-methylimidazolium trifluoroacetate	174899-94-6	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0260-sg
CCCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	CCCC[n+]1cccc(C)c1	O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	1-Butyl-3-methylpyridinium bis(trifluoromethylsulfonyl)imide	344790-86-9	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0216-hp
CCCC[n+]1cccc(C)c1.[Br-]	CCCC[n+]1cccc(C)c1	[Br-]	1-Butyl-3-methylpyridinium bromide	26576-85-2	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/iolilyte-fbe-1000
CCCC[n+]1cccc(C)c1.[Br-]	CCCC[n+]1cccc(C)c1	[Br-]	1-Butyl-3-methylpyridinium bromide	26576-85-2	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0078-hp
CCCC[n+]1cccc(C)c1.[Cl-]	CCCC[n+]1cccc(C)c1	[Cl-]	1-Butyl-3-methylpyridinium chloride	125652-55-3	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0079-hp
CCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F	CCCC[n+]1cccc(C)c1	F[P-](F)(F)(F)(F)F	1-Butyl-3-methylpyridinium hexafluorophosphate	845835-03-2	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0080-hp
CCCC[n+]1cccc(C)c1.[I-]	CCCC[n+]1cccc(C)c1	[I-]	1-Butyl-3-methylpyridinium iodide	258273-67-5	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0184-hp
CCCC[n+]1cccc(C)c1.F[B-](F)(F)F	CCCC[n+]1cccc(C)c1	F[B-](F)(F)F	1-Butyl-3-methylpyridinium tetrafluoroborate	597581-48-1	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0081-hp
CCCC[n+]1cccc(C)c1.O=S(=O)([O-])C(F)(F)F	CCCC[n+]1cccc(C)c1	O=S(=O)([O-])C(F)(F)F	1-Butyl-3-methylpyridinium triflate	857841-32-8	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0179-hp
C=Cn1cc[n+](CCCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	C=Cn1cc[n+](CCCC)c1	O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	1-Butyl-3-vinylimidazolium bis(trifluoromethylsulfonyl)imide	758716-72-2	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0293-hp
C=Cn1cc[n+](CCCC)c1.[Br-]	C=Cn1cc[n+](CCCC)c1	[Br-]	1-Butyl-3-vinylimidazolium bromide	34311-90-5	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0292-hp
CCCC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	CCCC[n+]1ccc(C)cc1	O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	1-Butyl-4-methylpyridinium bis(trifluoromethylsulfonyl)imide	475681-62-0	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0219-hp
CCCC[n+]1ccc(C)cc1.[Br-]	CCCC[n+]1ccc(C)cc1	[Br-]	1-Butyl-4-methylpyridinium bromide	65350-59-6	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0082-hp
CCCC[n+]1ccc(C)cc1.[Cl-]	CCCC[n+]1ccc(C)cc1	[Cl-]	1-Butyl-4-methylpyridinium chloride	112400-86-9	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0083-hp
CCCC[n+]1ccc(C)cc1.F[P-](F)(F)(F)(F)F	CCCC[n+]1ccc(C)cc1	F[P-](F)(F)(F)(F)F	1-Butyl-4-methylpyridinium hexafluorophosphate	401788-99-6	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0084-hp
CCCC[n+]1ccc(C)cc1.[I-]	CCCC[n+]1ccc(C)cc1	[I-]	1-Butyl-4-methylpyridinium iodide	32353-64-3	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0185-hp
CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F	CCCC[n+]1ccc(C)cc1	F[B-](F)(F)F	1-Butyl-4-methylpyridinium tetrafluoroborate	34952-33-0	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0085-hp
CCCC[n+]1ccc(C)cc1.N#CC(=C=[N-])C#N	CCCC[n+]1ccc(C)cc1	N#CC(=C=[N-])C#N	1-Butyl-4-methylpyridinium tricyanomethanide	1312925-66-8	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0319-hp
CCCC[n+]1ccc(C)cc1.O=S(=O)([O-])C(F)(F)F	CCCC[n+]1ccc(C)cc1	O=S(=O)([O-])C(F)(F)F	1-Butyl-4-methylpyridinium triflate	882172-79-4	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0180-hp
CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	CCCC[n+]1ccccc1	O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	1-Butylpyridinium bis(trifluoromethylsulfonyl)imide	187863-42-9	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0213-hp
CCCC[n+]1ccccc1.[Br-]	CCCC[n+]1ccccc1	[Br-]	1-Butylpyridinium bromide	874-80-6	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0086-hp
CCCC[n+]1ccccc1.[Cl-]	CCCC[n+]1ccccc1	[Cl-]	1-Butylpyridinium chloride	1124-64-7	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0087-hp
CCCC[n+]1ccccc1.F[P-](F)(F)(F)(F)F	CCCC[n+]1ccccc1	F[P-](F)(F)(F)(F)F	1-Butylpyridinium hexafluorophosphate	186088-50-6	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0088-hp
CCCC[n+]1ccccc1.[I-]	CCCC[n+]1ccccc1	[I-]	1-Butylpyridinium iodide	874-81-7	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0176-hp
CCCC[n+]1ccccc1.F[B-](F)(F)F	CCCC[n+]1ccccc1	F[B-](F)(F)F	1-Butylpyridinium tetrafluoroborate	203389-28-0	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0089-hp
CCCC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F	CCCC[n+]1ccccc1	O=S(=O)([O-])C(F)(F)F	1-Butylpyridinium triflate	390423-43-5	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyridinium-based/il-0182-hp
CCCCCCCCCCn1cc[n+](C)c1.[Br-]	CCCCCCCCCCn1cc[n+](C)c1	[Br-]	1-Decyl-3-methylimidazolium bromide	188589-32-4	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/IL-0064-HP
CCCCCCCCCCn1cc[n+](C)c1.[Cl-]	CCCCCCCCCCn1cc[n+](C)c1	[Cl-]	1-Decyl-3-methylimidazolium chloride	171058-18-7	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0065-hp
CCCCCCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F	CCCCCCCCCCn1cc[n+](C)c1	F[P-](F)(F)(F)(F)F	1-Decyl-3-methylimidazolium hexafluorophosphate	362043-46-7	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0066-hp
CCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F	CCCCCCCCCCn1cc[n+](C)c1	F[B-](F)(F)F	1-Decyl-3-methylimidazolium tetrafluoroborate	244193-56-4	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0067-hp
CCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F	CCCCCCCCCCn1cc[n+](C)c1	O=S(=O)([O-])C(F)(F)F	1-Decyl-3-methylimidazolium triflate	412009-62-2	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0068-hp
CCCCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	CCCCCCCCCCCCn1cc[n+](C)c1	O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	1-Dodecyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide	404001-48-5	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0101-hp
CCCCCCCCCCCCn1cc[n+](C)c1.[Br-]	CCCCCCCCCCCCn1cc[n+](C)c1	[Br-]	1-Dodecyl-3-methylimidazolium bromide	61546-00-7	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0119-hp
CCCCCCCCCCCCn1cc[n+](C)c1.[Cl-]	CCCCCCCCCCCCn1cc[n+](C)c1	[Cl-]	1-Dodecyl-3-methylimidazolium chloride	114569-84-5	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0120-hp
CCCCCCCCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F	CCCCCCCCCCCCn1cc[n+](C)c1	F[P-](F)(F)(F)(F)F	1-Dodecyl-3-methylimidazolium hexafluorophosphate	219947-93-0	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0095-hp
CCCCCCCCCCCCn1cc[n+](C)c1.[I-]	CCCCCCCCCCCCn1cc[n+](C)c1	[I-]	1-Dodecyl-3-methylimidazolium iodide	81995-09-7	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0136-hp
CCCCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F	CCCCCCCCCCCCn1cc[n+](C)c1	F[B-](F)(F)F	1-Dodecyl-3-methylimidazolium tetrafluoroborate	244193-59-7	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0132-hp
CCCCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F	CCCCCCCCCCCCn1cc[n+](C)c1	O=S(=O)([O-])C(F)(F)F	1-Dodecyl-3-methylimidazolium triflate	404001-52-1	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0133-hp
CC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	CC[N+]1(C)CCCC1	O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F	1-Ethyl-1-methylpyrrolidinium bis(trifluoromethylsulfonyl)imide	223436-99-5	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyrrolidinium-based/il-0167-hp
CC[N+]1(C)CCCC1.[Br-]	CC[N+]1(C)CCCC1	[Br-]	1-Ethyl-1-methylpyrrolidinium bromide	69227-51-6	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyrrolidinium-based/il-0163-hp
