entry	smiles
C00082	N[C@@H](Cc1ccc(O)cc1)C(=O)O
C00083	CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)O
C00084	CC=O
C00085	O=P(O)(O)OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O
C00086	NC(N)=O
C00087	[S]
C00088	O=NO
C00089	OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
C00090	Oc1ccccc1O
C00091	CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCC(=O)O
C00092	O=P(O)(O)OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
C00093	O=P(O)(O)OC[C@H](O)CO
C00094	O=S(O)O
C00095	OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O
C00096	Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1
C00097	N[C@@H](CS)C(=O)O
C00099	NCCC(=O)O
C00100	CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
C00101	Nc1nc2c(c(=O)[nH]1)N[C@@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)CN2
C00103	O=P(O)(O)O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
C00104	O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O
C00105	O=c1ccn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1
C00106	O=c1cc[nH]c(=O)[nH]1
C00108	Nc1ccccc1C(=O)O
C00109	CCC(=O)C(=O)O
C00110	CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C\CCC(C)CCOP(=O)(O)O
C00111	O=C(CO)COP(=O)(O)O
C00112	Nc1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1
C00114	C[N+](C)(C)CCO
C00116	OCC(O)CO
C00117	O=P(O)(O)OC[C@H]1OC(O)[C@H](O)[C@@H]1O
C00118	O=C[C@H](O)COP(=O)(O)O
C00119	O=P(O)(O)OC[C@H]1O[C@H](OP(=O)(O)OP(=O)(O)O)[C@H](O)[C@@H]1O
C00120	O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21
C00121	OC[C@H]1OC(O)[C@H](O)[C@@H]1O
C00122	O=C(O)/C=C/C(=O)O
C00123	CC(C)C[C@H](N)C(=O)O
C00124	OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O
C00127	N[C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O)C(=O)NCC(=O)O)C(=O)O
C00128	CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)O[C@](OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(N)nc3=O)[C@H](O)[C@@H]2O)(C(=O)O)C[C@@H]1O
C00129	C=C(C)CCOP(=O)(O)OP(=O)(O)O
C00130	O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
C00131	Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1
C00132	CO
C00133	C[C@@H](N)C(=O)O
C00134	NCCCCN
C00135	N[C@@H](Cc1c[nH]cn1)C(=O)O
C00136	CCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
C00137	O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O
C00140	CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O
C00141	CC(C)C(=O)C(=O)O
C00143	Nc1nc2c(c(=O)[nH]1)N1CN(c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)C[C@H]1CN2
C00144	Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1
C00146	Oc1ccccc1
C00147	Nc1ncnc2[nH]cnc12
C00148	O=C(O)[C@@H]1CCCN1
C00149	O=C(O)C[C@H](O)C(=O)O
C00152	NC(=O)C[C@H](N)C(=O)O
C00153	NC(=O)c1cccnc1
C00154	CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
C00155	N[C@@H](CCS)C(=O)O
C00156	O=C(O)c1ccc(O)cc1
C00158	O=C(O)CC(O)(CC(=O)O)C(=O)O
C00159	OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O
C00160	O=C(O)CO
C00163	CCC(=O)O
C00164	CC(=O)CC(=O)O
C00166	O=C(O)C(=O)Cc1ccccc1
C00167	O=C(O)[C@H]1O[C@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
C00168	O=C(O)C(=O)CO
C00169	NC(=O)OP(=O)(O)O
C00170	CSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
C00175	[Co+2]
C00178	Cc1c[nH]c(=O)[nH]c1=O
C00179	N=C(N)NCCCCN
C00180	O=C(O)c1ccccc1
C00181	OC1OC[C@@H](O)[C@H](O)[C@H]1O
C00182	OC[C@H]1O[C@H](OC[C@H]2O[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]3CO)[C@H](O)[C@@H](O)[C@@H]2O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
C00183	CC(C)[C@H](N)C(=O)O
C00184	O=C(CO)CO
C00185	OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O
C00186	C[C@H](O)C(=O)O
C00187	CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
C00188	C[C@@H](O)[C@H](N)C(=O)O
C00189	NCCO
C00190	O=c1ccn(C2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3OC[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1
C00191	O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
C00192	NO
C00194	C/C1=C2/[N-]C([C@H](CC([NH-])=O)[C@@]2(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@H]2[C@@H](O)[C@@H](n3cnc4cc(C)c(C)cc43)O[C@@H]2CO)[C@]2(C)N=C(/C(C)=C3\N=C(/C=C4\N=C1[C@@H](CCC(N)=O)C4(C)C)[C@@H](CCC(N)=O)[C@]3(C)CC(N)=O)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O.C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O.[Co+3]
C00196	O=C(O)c1cccc(O)c1O
C00197	O=C(O)[C@H](O)COP(=O)(O)O
