smiles_cation	kegg_id_cation	formal_charge_cation	smiles_anion	kegg_id_anion	formal_charge_anion	smiles_il	distance	commercial_il
C[N+]1=CCCC1	['C06178']	1	CC(=O)CC(=O)[O-]	['C00164']	-1	C[N+]1=CCCC1.CC(=O)CC(=O)[O-]	9.491009119957782	CC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	CC(C)C(=O)[O-]	['C02632']	-1	C[N+]1=CCCC1.CC(C)C(=O)[O-]	9.562764525339137	CC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	O=CCCC(=O)[O-]	['C00232']	-1	C[N+]1=CCCC1.O=CCCC(=O)[O-]	9.710057344688392	CC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	CC(C=O)C(=O)[O-]	['C00349']	-1	C[N+]1=CCCC1.CC(C=O)C(=O)[O-]	9.727880883174159	CC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	C[C@@H](C=O)C(=O)[O-]	['C06002']	-1	C[N+]1=CCCC1.C[C@@H](C=O)C(=O)[O-]	9.727880883174159	CC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	C#CCC(=O)[O-]	['C06144']	-1	C[N+]1=CCCC1.C#CCC(=O)[O-]	9.910091856623362	CC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	O=C([O-])CCO	['C01013', 'C01013']	-1	C[N+]1=CCCC1.O=C([O-])CCO	9.927315052702578	CC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	CC(=O)C[O-]	['C05235']	-1	C[N+]1=CCCC1.CC(=O)C[O-]	9.933437478920677	CC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	O=C([O-])CS(=O)(=O)[O-]	['C14179']	-2	C[N+]1=CCCC1.C[N+]1=CCCC1.O=C([O-])CS(=O)(=O)[O-]	9.946815481282941	CC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	CC(C)C(=O)C(=O)[O-]	['C00141']	-1	C[N+]1=CCCC1.CC(C)C(=O)C(=O)[O-]	9.975670225054943	CC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	N=CC(=O)[O-]	['C15809']	-1	C[N+]1=CCCC1.N=CC(=O)[O-]	9.984290103775267	CC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	C[C@H](O)C(=O)[O-]	['C00186', 'C00186']	-1	C[N+]1=CCCC1.C[C@H](O)C(=O)[O-]	9.986802519553795	CC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	C[C@@H](O)C(=O)[O-]	['C00256', 'C00256']	-1	C[N+]1=CCCC1.C[C@@H](O)C(=O)[O-]	9.986802519553795	CC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	C[C@@H](O)CC(=O)[O-]	['C01089', 'C01089']	-1	C[N+]1=CCCC1.C[C@@H](O)CC(=O)[O-]	10.030814975561853	CC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	[NH-]C=O	['C00488']	-1	C[N+]1=CCCC1.[NH-]C=O	10.13729210149985	CC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	C[C@@H]([O-])C=O	['C00937']	-1	C[N+]1=CCCC1.C[C@@H]([O-])C=O	10.165038497414969	CC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	C[C@H]([O-])C=O	['C00424']	-1	C[N+]1=CCCC1.C[C@H]([O-])C=O	10.165038497414969	CC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	O=C([O-])C1CC1	['C16267']	-1	C[N+]1=CCCC1.O=C([O-])C1CC1	10.218699205045766	CC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	CC(=O)[C@H](C)[O-]	['C01769']	-1	C[N+]1=CCCC1.CC(=O)[C@H](C)[O-]	10.24274412287094	CC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	CC(=O)[C@@H](C)[O-]	['C00810']	-1	C[N+]1=CCCC1.CC(=O)[C@@H](C)[O-]	10.24274412287094	CC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	CC([O-])CC(=O)C(=O)[O-]	['C03589']	-2	C[N+]1=CCCC1.C[N+]1=CCCC1.CC([O-])CC(=O)C(=O)[O-]	10.345803398108526	CC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	O=C[C@H]([O-])C[O-]	['C00577']	-2	C[N+]1=CCCC1.C[N+]1=CCCC1.O=C[C@H]([O-])C[O-]	10.347079973424481	CC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	O=C[C@@H]([O-])C[O-]	['C02426']	-2	C[N+]1=CCCC1.C[N+]1=CCCC1.O=C[C@@H]([O-])C[O-]	10.347079973424481	CC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	O=CCC[O-]	['C00969']	-1	C[N+]1=CCCC1.O=CCC[O-]	10.355219101643396	CC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	O=C([O-])[C@H]([O-])CO	['C00258']	-2	C[N+]1=CCCC1.C[N+]1=CCCC1.O=C([O-])[C@H]([O-])CO	10.3588833928318	CC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	CSCCC(=O)[O-]	['C08276']	-1	C[N+]1=CCCC1.CSCCC(=O)[O-]	10.41556833278484	CC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	O=CC[O-]	['C00266']	-1	C[N+]1=CCCC1.O=CC[O-]	10.425911757014294	CC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	CCCCCCCC(=O)[O-]	['C06423']	-1	C[N+]1=CCCC1.CCCCCCCC(=O)[O-]	8.024423930592027	CCCCCCCC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	CCCCCCCCCC(=O)[O-]	['C01571']	-1	C[N+]1=CCCC1.CCCCCCCCCC(=O)[O-]	9.764937082263545	CCCCCCCC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	O=CCCCCCCCC(=O)[O-]	['C16322']	-1	C[N+]1=CCCC1.O=CCCCCCCCC(=O)[O-]	10.256880561619369	CCCCCCCC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	CCCC(CCC)C(=O)[O-]	['C07185']	-1	C[N+]1=CCCC1.CCCC(CCC)C(=O)[O-]	10.808512322339158	CCCCCCCC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	O=CCCCCCC(=O)[O-]	['C16590']	-1	C[N+]1=CCCC1.O=CCCCCCC(=O)[O-]	11.052806466431417	CCCCCCCC(=O)[O-].CCn1cc[n+](C)c1
C[N+]1=CCCC1	['C06178']	1	O=C([O-])C1CCCCC1	['C09822']	-1	C[N+]1=CCCC1.O=C([O-])C1CCCCC1	11.11864818572116	CCCCCCCC(=O)[O-].CCn1cc[n+](C)c1
