name	cas	url
1-Benzyl-3-methylimdiazolium  1,1,2,2-tetrafluoroethanesulfonate, >98%		https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0254-sg
1-Benzyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide, 99%	433337-24-7	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0241-hp
1-Benzyl-3-methylimidazolium chloride, 99%	36443-80-8	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0140-hp
1-Benzyl-3-methylimidazolium dicyanamide, >98%	958445-60-8	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0242-hp
1-Benzyl-3-methylimidazolium hexafluorophosphate, 99%	433337-11-2	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0187-hp
1-Benzyl-3-methylimidazolium tetrafluoroborate, 99%	500996-04-3	https://iolitec.de/index.php/products/ionic_liquids/catalogue/imidazolium-based/il-0193-hp
1-Butyl-1-methylpiperidinium bis(trifluoromethylsulfonyl)imide, 99%	623580-02-9	https://iolitec.de/index.php/products/ionic_liquids/catalogue/piperidinium-based/il-0154-hp
1-Butyl-1-methylpiperidinium bromide, 99%	94280-72-5	https://iolitec.de/index.php/products/ionic_liquids/catalogue/piperidinium-based/iolilyte-fbe-3000
1-Butyl-1-methylpiperidinium bromide, 99%	94280-72-5	https://iolitec.de/index.php/products/ionic_liquids/catalogue/piperidinium-based/il-0153-hp
1-Butyl-1-methylpiperidinium chloride, 99%	845790-13-8	https://iolitec.de/index.php/products/ionic_liquids/catalogue/piperidinium-based/il-0155-hp
1-Butyl-1-methylpiperidinium hexafluorophosphate, 99%	1257647-66-7	https://iolitec.de/index.php/products/ionic_liquids/catalogue/piperidinium-based/il-0156-hp
1-Butyl-1-methylpiperidinium iodide,  >98%	37971-78-1	https://iolitec.de/index.php/products/ionic_liquids/catalogue/piperidinium-based/il-0169-hp
1-Butyl-1-methylpiperidinium tetrafluoroborate, 99%	886439-34-5	https://iolitec.de/index.php/products/ionic_liquids/catalogue/piperidinium-based/il-0152-hp
1-Butyl-1-methylpiperidinium triflate,  99%	1357500-93-6	https://iolitec.de/index.php/products/ionic_liquids/catalogue/piperidinium-based/il-0174-hp
1-Butyl-1-methylpyrrolidinium 1,1,2,2-tetrafluoroethanesulfonate, >98%		https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyrrolidinium-based/il-0235-sg
1-Butyl-1-methylpyrrolidinium bis(fluorosulfonyl)imide, >99.5%	1057745-51-3	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyrrolidinium-based/il-0343
1-Butyl-1-methylpyrrolidinium bis(trifluoromethylsulfonyl)imide, 99.5%	223437-11-4	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyrrolidinium-based/il-0035
1-Butyl-1-methylpyrrolidinium bis(trifluoromethylsulfonyl)imide, 99.5% - OP	223437-11-4	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyrrolidinium-based/il-0035-op
1-Butyl-1-methylpyrrolidinium bis(trifluoromethylsulfonyl)imide based electrolyte for Lithium Batteries		https://iolitec.de/index.php/products/ionic_liquids/catalogue/ready-use-electrolytes/iolilyte-lbe-2000
1-Butyl-1-methylpyrrolidinium bromide, 99%	93457-69-3	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyrrolidinium-based/il-0074-hp
1-Butyl-1-methylpyrrolidinium chloride, 99%	479500-35-1	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyrrolidinium-based/il-0075-hp
1-Butyl-1-methylpyrrolidinium dicyanamide, >98%	370865-80-8	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyrrolidinium-based/il-0041-hp
1-Butyl-1-methylpyrrolidinium hexafluorophosphate, 99%	330671-29-9	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyrrolidinium-based/il-0076-hp
1-Butyl-1-methylpyrrolidinium iodide, >98%	56511-17-2	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyrrolidinium-based/il-0050-hp
1-Butyl-1-methylpyrrolidinium methylcarbonate, >97%, 50% in MeOH	1223496-96-5	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyrrolidinium-based/0029-sg
1-Butyl-1-methylpyrrolidinium tetrafluoroborate, 99%	345984-11-4	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyrrolidinium-based/il-0077-hp
1-Butyl-1-methylpyrrolidinium tricyanomethanide, 98%	878027-72-6	https://iolitec.de/index.php/products/ionic_liquids/catalogue/pyrrolidinium-based/il-0318-hp
