smiles	kegg_id
CC1(C)SC2C([NH3+])C(=O)[NH+]2C1C(=O)[O-]	['C02954']
CC12[NH2+]C(Cc3ccccc31)c1ccccc12	['C13737']
CC1=CC2c3cccc4[nH]cc(c34)CC2[N+](C)=C1	['C20457']
CC1=CC2c3cccc4[nH]cc(c34)CC2[NH+](C)C1	['C09023']
CC1=[NH+]C(C(=O)O)CCN1	['C06231']
CC1C(=O)N2C1CC(SCC[NH3+])C2C(=O)O	['C20818']
CC1C(=O)[NH+]2C(C(=O)O)=CCC12	['C20821']
CC1C(=O)[NH+]2C1CC(SCCN)C2C(=O)O	['C20818']
CC1C(=O)[NH+]2C1CC(SCC[NH3+])C2C(=O)O	['C20818']
CC1C(=O)[NH+]2C1CC(SCC[NH3+])C2C(=O)[O-]	['C20818']
CC1C=[N+](C)C2Cc3c[nH]c4cccc(c34)C2C1	['C20409']
CC1CC(OC(=O)c2ccccc2)CC(C)(C)[NH2+]1	['C14167']
CC1CC2c3cccc4[nH]cc(c34)CC2[NH+](C)C1	['C20408']
CC1CCC2C(C)CCC(c3ccoc3)[NH+]2C1	['C09945']
CC1CCCC[NH+]1CCCOC(=O)c1ccccc1	['C14173']
CC1C[NH+](C)C2Cc3c[nH]c4cccc(c34)C2C1O	['C20437']
CC1C[NH+](C)CC2C(C)CCC12	['C09987']
CC1OC(C[N+](C)(C)C)CC1O	['C07473']
CC1[NH2+]CCc2c1[nH]c1ccccc21	['C09089']
CC=C1C(=O)N2C1CC(SCC[NH3+])C2C(=O)O	['C20823']
CC=C1C(=O)[NH+]2C1CC(SCCN)C2C(=O)O	['C20823']
CC=C1C(=O)[NH+]2C1CC(SCC[NH3+])C2C(=O)O	['C20823']
CC=C1C(=O)[NH+]2C1CC(SCC[NH3+])C2C(=O)[O-]	['C20823']
CC=C1CN2CCC34C(=C(C=O)C1CC23)[NH2+]c1ccccc14	['C22923']
CC=C1C[NH+]2C3CC1C(C=O)C2Cc1c3[nH]c2ccccc12	['C11633', 'C11634']
CC=C1C[NH+]2C3CC1C(CO)C2Cc1c3[nH]c2ccccc12	['C11635']
CC=C1C[NH+]2CCC34C(=C(C=O)C1CC23)Nc1ccccc14	['C22923']
CC=C1C[NH+]2CCC34C(=C(C=O)C1CC23)[NH2+]c1ccccc14	['C22923']
CC=C1[NH+](C)C(C)CC1(c1ccccc1)c1ccccc1	['C16659']
CC=CC1CCCC(C)[NH2+]1	['C10165']
CCC(C)C([NH3+])C(=O)O	['C00407']
CCC([NH3+])C(=O)O	['C02356']
CCC1C(=O)N2C(C(=O)O)=C(SCC[NH3+])CC12	['C17368']
CCC1C(=O)N2C1CC(SCC[NH3+])C2C(=O)O	['C20819']
CCC1C(=O)OCC1Cc1c[nH+]cn1C	['C07474']
CCC1C(=O)[NH+]2C(C(=O)O)=C(SCCN)CC12	['C17368']
CCC1C(=O)[NH+]2C(C(=O)O)=C(SCC[NH3+])CC12	['C17368']
CCC1C(=O)[NH+]2C(C(=O)[O-])=C(SCC[NH3+])CC12	['C17368']
CCC1C(=O)[NH+]2C1CC(SCCN)C2C(=O)O	['C20819']
CCC1C(=O)[NH+]2C1CC(SCC[NH3+])C2C(=O)O	['C20819']
CCC1C(=O)[NH+]2C1CC(SCC[NH3+])C2C(=O)[O-]	['C20819']
CCCC1CCCC[NH2+]1	['C06523']
CCCCCCCC(=O)CC(=O)c1ccccc1[NH3+]	['C21490']
CCCCCCCCCCCC1=CC(=O)C[NH2+]1	['C21573']
CCCCCCCCCCCCCCCC(=O)C([NH3+])CO	['C02934']
